Table 38, ,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2019",,, ,,,,,,,,,,,,,,,,,,,,,,,
"[10,831 agencies; 2019 estimated population 229,735,355]",,,,,,,, ,,,,,,,,,,,,,,,,,,
Offense charged,"Total
all ages","Ages
under 15","Ages
under 18","Ages 18
and over","Under
10",10-12,13-14,15,16,17,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over"
Fraud,"79,954",645,"2,620","77,334",2,108,535,464,661,850,"1,502","2,009","2,266","2,129","2,195","2,311","2,454","14,302","13,515","11,393","7,918","5,656","4,224","2,967","1,442","1,051"
Embezzlement,"10,003",25,400,"9,603",0,5,20,26,117,232,431,545,470,388,408,309,350,"1,667","1,412","1,114",863,630,443,336,144,93
"Stolen property; buying, receiving, possessing","64,027","1,368","6,487","57,540",2,118,"1,248","1,358","1,732","2,029","2,314","2,231","2,053","1,905","1,952","1,985","1,955","11,730","10,218","8,245","5,145","3,292","2,295","1,374",585,261
Vandalism,"128,474","9,891","22,744","105,730",314,"2,926","6,651","4,247","4,355","4,251","4,316","4,161","3,920","3,994","3,999","3,979","3,945","20,757","17,210","13,364","8,735","6,120","4,815","3,421","1,700","1,294"
"Weapons; carrying, possessing, etc.","110,130","3,347","11,563","98,567",63,863,"2,421","2,092","2,705","3,419","4,186","4,342","4,232","4,308","4,230","4,160","4,241","20,241","15,171","11,690","7,529","5,146","3,800","2,767","1,452","1,072"
Prostitution and commercialized vice,"20,015",30,214,"19,801",0,8,22,26,55,103,477,818,881,893,927,817,853,"3,954","2,862","2,176","1,531","1,236","1,013",674,369,320
Sex offenses (except rape and prostitution),"28,973","2,310","4,739","24,234",40,619,"1,651",859,775,795,828,700,624,601,556,611,599,"3,095","3,290","3,100","2,306","1,962","1,756","1,642","1,165","1,399"
Drug abuse violations,"1,067,764","10,881","55,701","1,012,063",55,"1,695","9,131","9,689","13,996","21,135","36,298","41,116","38,389","37,432","36,358","36,652","36,982","193,061","165,241","135,033","89,556","62,814","47,410","33,345","15,620","6,756"
Gambling,"1,909",26,150,"1,759",1,3,22,29,45,50,32,67,55,36,30,32,48,252,232,229,191,176,151,115,49,64
Offenses against the family and children,"58,720",772,"2,098","56,622",27,188,557,434,458,434,635,741,825,"1,039","1,101","1,250","1,401","9,965","11,267","10,330","7,181","4,662","2,948","1,916",869,492
Driving under the influence,"658,902",89,"3,580","655,322",5,13,71,161,858,"2,472","7,152","11,113","12,995","20,860","22,770","24,184","24,752","121,140","98,297","80,832","60,960","50,411","42,811","36,682","22,344","18,019"
Liquor laws,"112,467","2,681","17,072","95,395",6,379,"2,296","2,738","4,508","7,145","14,821","15,621","13,296","2,745","2,084","1,642","1,608","7,072","6,453","6,013","5,005","4,884","5,042","4,692","2,733","1,684"
Drunkenness,"219,696",372,"2,414","217,282",5,52,315,362,576,"1,104","3,032","3,735","3,972","6,276","6,178","6,158","6,207","32,949","31,445","28,206","21,909","19,407","18,295","15,956","8,799","4,758"
Disorderly conduct,"211,960","16,045","36,877","175,083",224,"4,335","11,486","7,733","7,029","6,070","5,379","5,212","5,439","6,489","6,030","5,767","5,753","29,318","26,167","22,237","15,820","12,967","10,870","8,730","5,056","3,849"
Vagrancy,"16,104",77,255,"15,849",3,15,59,62,60,56,245,216,306,218,245,286,280,"2,051","2,114","2,206","1,710","1,670","1,696","1,335",815,456
All other offenses (except traffic),"2,219,328","28,480","96,409","2,122,919",497,"5,684","22,299","19,448","22,558","25,923","36,139","46,633","51,696","56,651","59,911","62,805","66,542","385,355","363,582","309,797","216,774","160,921","127,147","95,722","49,609","33,635"
Suspicion,329,7,17,312,0,0,7,1,4,5,10,5,6,12,13,12,9,60,56,43,23,27,10,16,6,4
Curfew and loitering law violations,"10,781","3,624","10,781",-,18,578,"3,028","2,447","2,721","1,989",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,, ,, ,, ,,,,,,,,,,,,,,,
2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,, ,,,,,,,,,,,,,,,,,,,,,,,,
